,Unnamed: 0,timestamp,humidity,pm_2_5,temperature,month,dayofweek,weekofyear,day,hour,pm_2_5_lag_12day,PM2.5_MA3_prev_12day,PM2.5_MAX24_prev_12day,PM2.5_MIN24_prev_12day
19774,20643.0,2024-11-04 11:00:00.000,37.13913214285714,5.553571428571429,39.37517857142856,11,0,309,4,11,10.22950819672131,8.431718648430552,41.47457627118644,1.081967213114754
19775,20644.0,2024-11-04 12:00:00.000,38.22791833333334,7.683333333333334,39.514,11,0,309,4,12,9.016666666666667,8.362125394462298,41.47457627118644,1.081967213114754
19776,20645.0,2024-11-04 13:00:00.000,53.80201147540986,4.573770491803279,33.06065573770491,11,0,309,4,13,5.366666666666666,8.310296277398805,41.47457627118644,1.081967213114754
19777,20646.0,2024-11-04 14:00:00.000,54.47110833333335,5.183333333333334,33.0835,11,0,309,4,14,4.916666666666667,8.305385563113092,41.47457627118644,1.081967213114754
19778,20647.0,2024-11-04 15:00:00.000,52.82017213114752,6.311475409836065,34.59819672131148,11,0,309,4,15,5.466666666666667,8.311784372636902,41.47457627118644,1.081967213114754
19779,20648.0,2024-11-04 16:00:00.000,51.46125084745762,11.08474576271187,34.39796610169491,11,0,309,4,16,4.416666666666667,8.316347864700393,41.47457627118644,1.081967213114754
19780,20649.0,2024-11-04 17:00:00.000,48.81293333333333,7.05,34.96783333333331,11,0,309,4,17,5.283333333333333,8.322101832954361,41.47457627118644,1.081967213114754
19781,20650.0,2024-11-04 18:00:00.000,52.21547049180327,9.60655737704918,34.50852459016394,11,0,309,4,18,5.716666666666667,8.334292240726667,41.47457627118644,1.081967213114754
19782,20651.0,2024-11-04 19:00:00.000,55.88549322033897,9.694915254237287,33.19677966101695,11,0,309,4,19,6.116666666666666,8.347982716917143,41.47457627118644,1.081967213114754
19783,20652.0,2024-11-04 20:00:00.000,51.728853125,8.84375,34.200625,11,0,309,4,20,4.666666666666667,8.354183113742538,41.47457627118644,1.081967213114754
19784,20653.0,2024-11-04 21:00:00.000,52.11256666666665,13.23333333333333,34.304,11,0,309,4,21,11.3,8.378488669298095,41.47457627118644,1.081967213114754
19785,20654.0,2024-11-04 22:00:00.000,55.15785333333334,12.13333333333333,33.57266666666666,11,0,309,4,22,14.11666666666667,8.411425177234602,41.47457627118644,1.081967213114754
19786,20655.0,2024-11-04 23:00:00.000,59.46833103448276,12.62068965517241,32.14258620689654,11,0,309,4,23,14.16666666666667,8.446693034377459,41.47457627118644,1.081967213114754
19787,20656.0,2024-11-05 00:00:00.000,57.87096721311475,13.19672131147541,32.6272131147541,11,1,310,5,0,17.58333333333333,8.49123668517111,41.47457627118644,1.081967213114754
